fecha,crol,pecho,espalda,mariposa,crol_patada,pecho_patada,espalda_patada,mariposa_patada,total,hand_paddle ,flippers,pull_buoy,notes
2/03/2023,1650,0,0,0,0,0,0,0,1650,,,,
3/03/2023,1500,0,0,0,0,0,0,0,1500,,,,
7/03/2023,1700,0,0,0,0,0,0,0,1700,,,,
9/03/2023,1600,0,0,0,200,0,0,0,1800,,,,
10/03/2023,1500,200,100,0,200,0,0,0,2000,,,,
14/03/2023,1500,0,0,0,200,0,0,0,1700,,,,
16/03/2023,1800,0,0,0,200,0,0,0,2000,,,,
17/03/2023,1050,475,475,0,0,0,0,0,2000,,,,
21/03/2023,1800,100,100,0,200,0,0,0,2200,,,,
23/03/2023,1600,0,0,0,0,0,0,0,1600,,,,
24/03/2023,1800,0,0,0,0,0,0,0,1800,,,,
28/03/2023,1050,0,0,0,0,0,0,0,1050,,,,
4/04/2023,2000,0,0,0,250,0,0,0,2250,,,,
11/04/2023,1800,200,100,0,0,0,0,0,2100,,,,
13/04/2023,1800,200,200,0,200,0,0,0,2400,,,,
14/04/2023,1750,0,0,0,0,0,0,0,1750,,,,
27/04/2023,1700,0,0,0,0,0,0,0,1700,,,,
2/05/2023,1400,200,200,0,0,0,0,0,1800,1,,,
4/05/2023,1700,0,0,0,0,0,0,0,1700,,,,
5/05/2023,1050,250,250,0,0,0,0,0,1550,,,,
9/05/2023,1100,0,0,0,150,150,150,150,1700,,,,
11/05/2023,1800,0,0,0,0,0,0,0,1800,,,,
12/05/2023,1700,0,0,0,0,0,0,0,1700,,,,
16/05/2023,1725,150,75,0,0,0,0,0,1950,,1,,
18/05/2023,1700,0,0,0,0,0,0,0,1700,,,,
19/05/2023,1300,0,0,0,300,0,0,0,1600,,,,
23/05/2023,1000,250,250,0,0,0,0,0,1500,,,,
25/05/2023,1800,0,0,0,0,0,0,0,1800,,,,
26/05/2023,2000,0,0,0,0,0,0,0,2000,,1,,
6/06/2023,2100,0,0,0,0,0,0,0,2100,,,,
8/06/2023,1800,0,0,0,0,0,,0,1800,,,,
9/06/2023,2300,0,0,0,0,0,0,0,2300,,1,,
13/06/2023,2300,0,0,0,0,0,0,0,2300,,1,,
15/06/2023,2100,0,0,0,0,0,0,0,2100,,,,
16/06/2023,1800,0,0,0,200,0,0,0,2000,1,,,
20/06/2023,1300,200,200,0,0,0,0,0,1700,1,,,
22/06/2023,2100,0,0,0,0,0,0,0,2100,,,,
23/06/2023,1300,0,0,0,200,200,0,0,1700,,,,
27/06/2023,2100,0,0,0,0,0,0,0,2100,,1,,
2/08/2023,1900,0,0,0,0,0,0,0,1900,,,,
3/08/2023,2025,250,125,0,0,0,0,0,2400,,1,,
4/08/2023,1800,0,0,0,0,0,0,0,1800,1,,,
9/08/2023,1150,200,200,100,0,0,0,0,1650,,,,
10/08/2023,2025,250,125,0,0,0,0,0,2400,,1,,
11/08/2023,1000,0,0,0,500,0,0,0,1500,,,,
15/08/2023,1150,300,200,0,0,0,0,0,1650,,,,
17/08/2023,1700,0,0,0,0,0,0,0,1700,,,,
18/08/2023,1700,0,0,0,0,0,0,0,1700,,,,
23/08/2023,1400,0,0,0,400,0,0,0,1800,,,,
25/08/2023,1900,200,100,0,0,0,0,0,2200,,1,,
29/08/2023,1375,125,125,125,500,0,0,0,2250,1,,,I learned to swim butterfly
1/09/2023,2100,0,0,0,0,0,0,0,2100,,1,,
5/09/2023,1850,0,0,0,0,0,0,0,1850,,,,
7/09/2023,1750,0,0,0,0,0,0,0,1750,,,,
8/09/2023,1850,0,0,0,0,0,0,0,1850,,,,
12/09/2023,1750,0,0,0,0,0,0,0,1750,,,,
14/09/2023,1700,100,100,100,0,0,0,0,2000,,,,
15/09/2023,2100,0,0,0,0,0,0,0,2100,,1,,
19/09/2023,1850,0,0,0,200,0,0,0,2050,,,,
3/11/2023,1775,75,75,75,0,0,0,0,2000,,1,,going back to the pool after a month without swimming because of traveling
7/11/2023,1800,0,0,0,0,0,0,0,1800,1,1,,
9/11/2023,1050,50,50,200,0,0,0,150,1500,1,1,,arm workout: hold on to the starting box and lift yourself 7 times
10/11/2023,1600,0,0,0,0,0,0,0,1600,1,,,
14/11/2023,1225,75,75,75,300,0,0,0,1750,1,1,,
16/11/2023,1450,50,50,50,0,0,0,0,1600,1,1,,
17/11/2023,1450,50,50,50,0,0,0,0,1600,,,,exercises to correct arm stroke errors
28/11/2023,1100,0,0,250,500,0,0,0,1850,,1,,
30/11/2023,2500,0,0,0,0,0,0,0,2500,,1,,
6/12/2023,1300,100,100,100,200,0,0,0,1800,1,,,4 x 10 push up 
7/12/2023,1400,100,100,100,0,0,0,0,1700,,1,,
12/12/2023,1850,0,0,0,0,0,0,0,1850,1,1,,
14/12/2023,825,175,175,175,700,0,0,0,2050,,1,,
15/12/2023,1800,100,0,100,0,0,0,0,2000,1,,,
20/12/2023,1500,250,100,150,0,0,0,0,2000,,1,,
21/12/2023,1975,75,75,75,0,0,0,0,2200,,1,,10 second crawl kick in the wall.
22/12/2023,1450,100,0,0,0,0,250,0,1800,1,1,,
26/12/2023,1850,50,50,50,0,0,0,0,2000,,1,,
2/01/2024,1175,200,175,100,75,75,0,0,1800,1,1,,
4/01/2024,1875,125,75,75,0,0,0,0,2150,,1,,Empezo a nadar mama
5/01/2024,1675,175,75,75,0,0,0,0,2000,1,1,,
9/01/2024,1525,225,125,125,0,0,0,0,2000,1,1,,
30/01/2024,1325,175,100,100,0,0,0,0,1700,1,,,
1/02/2024,975,125,375,150,0,0,75,0,1700,1,,,
2/02/2024,1875,175,125,125,0,0,0,0,2300,,,,
3/02/2024,2025,125,125,125,0,0,0,0,2400,1,1,,
6/02/2024,900,200,100,100,500,0,0,0,1800,1,1,,
8/02/2024,1075,175,75,75,300,0,0,0,1700,1,1,,
9/02/2024,900,200,100,200,200,100,0,0,1700,,,,
5/03/2024,1025,200,175,100,75,75,0,0,1650,1,1,,
7/03/2024,1400,150,50,50,0,0,0,0,1650,1,,,
8/03/2024,1500,300,100,100,0,0,0,0,2000,1,1,,
12/03/2024,575,425,325,75,0,0,0,0,1400,1,,,
14/03/2024,850,300,275,0,75,0,0,0,1500,1,,,
20/03/2024,1600,200,200,100,0,0,0,0,2100,,,,
21/03/2024,1400,150,0,0,0,0,0,0,1550,,,,
28/03/2024,2000,0,0,0,0,0,0,0,2000,,,,
4/04/2024,1300,0,75,225,0,0,0,0,1600,1,,,
5/04/2024,1100,400,0,0,300,0,0,0,1800,1,1,,
12/04/2024,1950,100,50,50,0,0,0,0,2150,,1,,
16/04/2024,1200,100,250,0,0,0,0,0,1550,,,,
18/04/2024,650,300,200,0,300,0,0,0,1450,,,,
23/04/2024,1175,75,75,75,300,0,0,0,1700,1,,,
26/04/2024,950,200,200,200,200,0,0,0,1750,1,,,
30/04/2024,1325,125,125,125,0,0,0,0,1700,1,1,,
1/08/2024,600,400,200,0,0,0,0,0,1200,,,,
6/08/2024,1100,250,100,100,0,0,0,0,1550,,,,
8/08/2024,1600,150,0,0,0,0,0,0,1750,,,,
13/08/2024,775,275,125,125,500,0,0,0,1800,,,,
13/08/2024,775,275,125,125,500,0,0,0,1800,,1,,
15/08/2024,875,375,225,75,0,0,0,0,1550,,,,
15/08/2024,875,375,225,75,0,0,0,0,1550,,1,1,
20/08/2024,1350,275,75,75,0,0,0,0,1775,,,,
20/08/2024,1275,275,75,75,0,0,0,0,1700,1,1,,
22/08/2024,800,100,100,100,400,0,0,0,1500,,1,,
27/08/2024,850,400,100,0,0,0,0,0,1350,,,,
3/09/2024,875,275,275,75,0,0,0,0,1500,,1,,
5/09/2024,1200,0,0,0,500,0,0,0,1700,1,1,,
10/09/2024,1450,50,50,50,0,0,0,0,1600,1,,,
12/09/2024,1600,150,150,150,0,0,0,0,2050,1,1,,
17/09/2024,950,450,300,0,0,0,0,0,1700,,,,
24/09/2024,1425,225,75,75,0,0,0,0,1800,1,1,,
26/09/2024,1800,0,0,0,0,0,0,0,1800,1,,,
3/10/2024,1275,275,50,50,0,0,0,0,1650,1,,,
5/10/2024,625,625,375,75,0,0,0,0,1700,,1,1,
8/10/2024,1300,400,150,150,0,0,0,0,2000,,1,,
15/10/2024,1400,200,200,50,0,0,0,0,1850,1,1,,
17/10/2024,1475,125,125,25,0,0,0,0,1750,1,1,,
22/10/2024,400,400,200,0,100,100,100,0,1300,,,,
29/10/2024,1275,275,75,75,0,0,0,0,1700,1,1,,
31/10/2024,1475,75,75,75,150,0,0,0,1850,1,,,
19/11/2024,1400,200,0,0,0,0,0,0,1600,1,,1,
21/11/2024,950,50,50,50,100,100,100,100,1400,1,,,
